,COUNTRY_ID,COUNTRY_NAME_EN
0,AFG,Afghanistan
1,ALB,Albania
2,DZA,Algeria
3,ASM,American Samoa
4,AND,Andorra
5,AGO,Angola
6,AIA,Anguilla
7,ATG,Antigua and Barbuda
8,ARG,Argentina
9,ARM,Armenia
10,ABW,Aruba
11,AUS,Australia
12,AZE,Azerbaijan
13,AUT,Austria
14,BHS,Bahamas
15,BHR,Bahrain
16,BGD,Bangladesh
17,BRB,Barbados
18,BEL,Belgium
19,BIH,Bosnia and Herzegovina
20,BLZ,Belize
21,BMU,Bermuda
22,BTN,Bhutan
23,BOL,Bolivia (Plurinational State of)
24,BWA,Botswana
25,BRA,Brazil
26,SLB,Solomon Islands
27,PLW,Palau
28,BRN,Brunei Darussalam
29,BGR,Bulgaria
30,HRV,Croatia
31,MMR,Myanmar
32,BDI,Burundi
33,CMR,Cameroon
34,CAN,Canada
35,CPV,Cabo Verde
36,CYM,Cayman Islands
37,CAF,Central African Republic
38,TCD,Chad
39,CHL,Chile
40,CHN,China
41,COL,Colombia
42,COM,Comoros
43,MYT,Mayotte
44,COG,Congo
45,COK,Cook Islands
46,CRI,Costa Rica
47,CUB,Cuba
48,CYP,Cyprus
49,CZE,Czechia
50,BEN,Benin
51,DNK,Denmark
52,DMA,Dominica
53,DOM,Dominican Republic
54,ECU,Ecuador
55,EGY,Egypt
56,SLV,El Salvador
57,GNQ,Equatorial Guinea
58,ERI,Eritrea
59,EST,Estonia
60,ETH,Ethiopia
61,FRO,Faeroe Islands
62,FLK,Falkland Islands (Malvinas)
63,FJI,Fiji
64,FIN,Finland
65,ALA,Åland Islands
66,FRA,France
67,GUF,French Guiana
68,PYF,French Polynesia
69,DJI,Djibouti
70,GAB,Gabon
71,GMB,Gambia
72,GEO,Georgia
73,DEU,Germany
74,GHA,Ghana
75,GIB,Gibraltar
76,KIR,Kiribati
77,GRC,Greece
78,GRL,Greenland
79,GRD,Grenada
80,GLP,Guadeloupe
81,GUM,Guam
82,GTM,Guatemala
83,GIN,Guinea
84,GUY,Guyana
85,HTI,Haiti
86,VAT,Holy See
87,HND,Honduras
88,HKG,"China, Hong Kong Special Administrative Region"
89,HUN,Hungary
90,ISL,Iceland
91,IND,India
92,IDN,Indonesia
93,IRN,Iran (Islamic Republic of)
94,IRQ,Iraq
95,IRL,Ireland
96,ISR,Israel
97,ITA,Italy
98,CIV,Côte d'Ivoire
99,JAM,Jamaica
100,JPN,Japan
101,JOR,Jordan
102,KAZ,Kazakhstan
103,KEN,Kenya
104,KHM,Cambodia
