,INDICATOR_ID,INDICATOR_LABEL_EN
0,ADMI.ENDOFLOWERSEC.MAT, Administration of a nationally-representative learning assessment at the end of lower secondary education in mathematics (number)
1,ADMI.ENDOFLOWERSEC.READ, Administration of a nationally-representative learning assessment at the end of lower secondary education in reading (number)
2,ADMI.ENDOFPRIM.MAT, Administration of a nationally-representative learning assessment at the end of primary in mathematics (number)
3,ADMI.ENDOFPRIM.READ, Administration of a nationally-representative learning assessment at the end of primary in reading (number)
4,ADMI.GRADE2OR3PRIM.MAT, Administration of a nationally representative learning assessment in Grade 2 or 3 in mathematics (number)
5,ADMI.GRADE2OR3PRIM.READ, Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number)
6,AIDEDUC.LOWINCOMECOUNT,Percentage of total aid to education allocated to least developed countries (%)
7,AIR.1.GLAST,"Gross intake ratio to the last grade of primary education, both sexes (%)"
8,AIR.1.GLAST.F,"Gross intake ratio to the last grade of primary education, female (%)"
9,AIR.1.GLAST.GPIA,"Gross intake ratio to the last grade of primary education, adjusted gender parity index (GPIA)"
10,AIR.1.GLAST.M,"Gross intake ratio to the last grade of primary education, male (%)"
11,AIR.2.GPV.GLAST,"Gross intake ratio to the last grade of lower secondary general education, both sexes (%)"
12,AIR.2.GPV.GLAST.F,"Gross intake ratio to the last grade of lower secondary general education, female (%)"
13,AIR.2.GPV.GLAST.GPIA,"Gross intake ratio to the last grade of lower secondary general education, adjusted gender parity index (GPIA)"
14,AIR.2.GPV.GLAST.M,"Gross intake ratio to the last grade of lower secondary general education, male (%)"
15,CR.1,"Completion rate, primary education, both sexes (%)"
16,CR.1.ABL,"Completion rate, primary education, not disabled, both sexes (%)"
17,CR.1.ABL.F,"Completion rate, primary education, not disabled, female (%)"
18,CR.1.ABL.GPIA,"Completion rate, primary education, not disabled, adjusted gender parity index (GPIA)"
19,CR.1.ABL.M,"Completion rate, primary education, not disabled, male (%)"
20,CR.1.DIS,"Completion rate, primary education, disabled, both sexes (%)"
21,CR.1.DIS.F,"Completion rate, primary education, disabled, female (%)"
22,CR.1.DIS.GPIA,"Completion rate, primary education, disabled, adjusted gender parity index (GPIA)"
23,CR.1.DIS.M,"Completion rate, primary education, disabled, male (%)"
24,CR.1.DPIA,"Completion rate, primary education, adjusted disability parity index (DPIA)"
25,CR.1.F,"Completion rate, primary education, female (%)"
26,CR.1.F.DPIA,"Completion rate, primary education, female, adjusted disability parity index (DPIA)"
27,CR.1.F.LPIA,"Completion rate, primary education, female, adjusted location parity index (LPIA)"
28,CR.1.F.WPIA,"Completion rate, primary education, female, adjusted wealth parity index (WPIA)"
29,CR.1.GPIA,"Completion rate, primary education, adjusted gender parity index (GPIA)"
30,CR.1.LPIA,"Completion rate, primary education, adjusted location parity index (LPIA)"
31,CR.1.M,"Completion rate, primary education, male (%)"
32,CR.1.M.DPIA,"Completion rate, primary education, male, adjusted disability parity index (DPIA)"
33,CR.1.M.LPIA,"Completion rate, primary education, male, adjusted location parity index (LPIA)"
34,CR.1.M.WPIA,"Completion rate, primary education, male, adjusted wealth parity index (WPIA)"
35,CR.1.Q1,"Completion rate, primary education, poorest quintile, both sexes (%)"
36,CR.1.Q1.F,"Completion rate, primary education, poorest quintile, female (%)"
37,CR.1.Q1.F.LPIA,"Completion rate, primary education, poorest quintile, female, adjusted location parity index (LPIA)"
38,CR.1.Q1.GPIA,"Completion rate, primary education, poorest quintile, adjusted gender parity index (GPIA)"
39,CR.1.Q1.LPIA,"Completion rate, primary education, poorest quintile, adjusted location parity index (LPIA)"
40,CR.1.Q1.M,"Completion rate, primary education, poorest quintile, male (%)"
41,CR.1.Q1.M.LPIA,"Completion rate, primary education, poorest quintile, male, adjusted location parity index (LPIA)"
42,CR.1.Q2,"Completion rate, primary education, second quintile, both sexes (%)"
43,CR.1.Q2.F,"Completion rate, primary education, second quintile, female (%)"
44,CR.1.Q2.F.LPIA,"Completion rate, primary education, second quintile, female, adjusted location parity index (LPIA)"
45,CR.1.Q2.GPIA,"Completion rate, primary education, second quintile, adjusted gender parity index (GPIA)"
46,CR.1.Q2.LPIA,"Completion rate, primary education, second quintile, adjusted location parity index (LPIA)"
47,CR.1.Q2.M,"Completion rate, primary education, second quintile, male (%)"
48,CR.1.Q2.M.LPIA,"Completion rate, primary education, second quintile, male, adjusted location parity index (LPIA)"
49,CR.1.Q3,"Completion rate, primary education, middle quintile, both sexes (%)"
50,CR.1.Q3.F,"Completion rate, primary education, middle quintile, female (%)"
51,CR.1.Q3.F.LPIA,"Completion rate, primary education, middle quintile, female, adjusted location parity index (LPIA)"
52,CR.1.Q3.GPIA,"Completion rate, primary education, middle quintile, adjusted gender parity index (GPIA)"
53,CR.1.Q3.LPIA,"Completion rate, primary education, middle quintile, adjusted location parity index (LPIA)"
54,CR.1.Q3.M,"Completion rate, primary education, middle quintile, male (%)"
55,CR.1.Q3.M.LPIA,"Completion rate, primary education, middle quintile, male, adjusted location parity index (LPIA)"
56,CR.1.Q4,"Completion rate, primary education, fourth quintile, both sexes (%)"
57,CR.1.Q4.F,"Completion rate, primary education, fourth quintile, female (%)"
58,CR.1.Q4.F.LPIA,"Completion rate, primary education, fourth quintile, female, adjusted location parity index (LPIA)"
59,CR.1.Q4.GPIA,"Completion rate, primary education, fourth quintile, adjusted gender parity index (GPIA)"
60,CR.1.Q4.LPIA,"Completion rate, primary education, fourth quintile, adjusted location parity index (LPIA)"
61,CR.1.Q4.M,"Completion rate, primary education, fourth quintile, male (%)"
62,CR.1.Q4.M.LPIA,"Completion rate, primary education, fourth quintile, male, adjusted location parity index (LPIA)"
63,CR.1.Q5,"Completion rate, primary education, richest quintile, both sexes (%)"
64,CR.1.Q5.F,"Completion rate, primary education, richest quintile, female (%)"
65,CR.1.Q5.F.LPIA,"Completion rate, primary education, richest quintile, female, adjusted location parity index (LPIA)"
66,CR.1.Q5.GPIA,"Completion rate, primary education, richest quintile, adjusted gender parity index (GPIA)"
67,CR.1.Q5.LPIA,"Completion rate, primary education, richest quintile, adjusted location parity index (LPIA)"
68,CR.1.Q5.M,"Completion rate, primary education, richest quintile, male (%)"
